"Manage Temando","Gérer Temando"
"Install Temando","Installer Temando"
"Test Connection Settings","Test des paramètres de connexion"
"Name","Nom"
"Version","Version"
"Token","Ticket"
"Install date","Date d'installation"
"Update","Mise à jour"
"Update date","Date de mise à jour"
"Update available","Mise à jour disponible"
"Uninstall","Désinstaller"
"Are you sure you want to uninstall the Temando module?","Voulez-vous vraiment désinstaller le module Temando ?"
"Are you sure you want to update the Temando module?","Voulez-vous vraiment mettre à jour le module Temando ?"
"Could not find latest release.","Impossible de trouver la dernière version."
"Package successfully installed.","Le module a été installé avec succès."
"No modules selected for update.","Vous n'avez sélectionné aucun module à mettre à jour."
"Could not find valid service.","Impossible de trouver un service valide."
"Current version is greater than or equal to the latest release.","La version actuelle est plus récente ou similaire à la dernière version disponible."
"Package successfully updated.","Le module a été mis à jour avec succès."
"No modules selected for removal.","Vous n'avez sélectionné aucun module à supprimer."
"Package successfully uninstalled.","Le module a été désinstallé."
"Modules does not exist.","Le module n'existe pas."
"Temando update has been dismissed.","La mise à jour Temando a été rejetée."
"Manage Temando Installation","Gérer l'installation de Temando"
"SOAP is not enabled on this server.  Please enable SOAP to use the Temando plugin.","SOAP n'est pas activé sur ce serveur. Il est nécessaire de l'activer pour utiliser le plugin Temando"
"The community channel cannot be found.  Please install the community channel for Magento Connect.","Impossible d'accéder au "community channel". Veuillez installer le "community channel" dans Magento Connect."
"Note: if you have any customisations relating to your Temando extension, upgrading your Temando extension will remove these. Contact your Temando representative for guidance.","Attention, si vous avez des modifications sur votre extension Temando, le changement de version les supprimera. Contactez votre responsable Temando si vous avez besoin d'aide."
"Note: if upgrading from the Starter Extension to a Business Extension, please re-index your products.","Note : Si vous passez de la version Starter à la version Business, vous devez réindexer votre base produit"
"Temando is already installed.","Temando est déjà installé. "
"Could not find valid subscription.","Impossible de trouver un abonnement valide."
"Error downloading file.","Erreur lors du téléchargement du fichier."
"There was an error uninstalling the current module.","Une erreur s'est produite lors de la désinstallation du module actuel."
"Could not complete get quotes test.","Le test de requête d'offres de transport (GetQuote) a échoué."
"Cheapest quote: %s","Offre la moins chère : %s"
"Error connecting to the api: %s","Erreur lors de la connexion à l'API : %s"
"API Connection successful!","La connection à l'API a réussi."
"Please add a warehouse to locations.","Veuillez ajouter un entrepôt aux lieux"
"Warehouses: %s","Entrepôts : %s"
"Please add a rule to the rule engine.","Veuillez ajouter une règle au moteur de règles"
"Rules: %s","Règles : %s"
"<div style=""padding:10px;background-color:#fff;border:1px solid #ddd;margin-bottom:7px;"">If you don't have a Temando account, you can <a href=""https://sso.temando.com/signup/"" target=""_blank"">Sign Up</a> immediately.</div>","<div style=""padding:10px;background-color:#fff;border:1px solid #ddd;margin-bottom:7px;"">Si vous n'avez pas de compte Temando, vous pouvez <a href=""https://sso.temando.com/signup/"" target=""_blank"">vous inscrire</a>.</div>"
"General","Générales"
"Access Token","Accéder au ticket d'accés"
"Temando Installer","Programme d'installation Temando"
